episode,episode_steps,episode_reward,max_tile
349,241,2816.0,256.0
350,237,2232.0,256.0
351,361,3720.0,256.0
352,319,3088.0,256.0
353,407,3488.0,256.0
354,505,6168.0,512.0
355,256,3224.0,256.0
356,198,2068.0,256.0
357,314,2780.0,256.0
358,378,2120.0,128.0
359,268,2704.0,256.0
360,201,1372.0,128.0
361,518,3928.0,256.0
362,203,2236.0,256.0
363,480,4372.0,256.0
364,320,4048.0,256.0
365,637,6768.0,512.0
366,340,3128.0,256.0
367,307,3540.0,256.0
368,220,1836.0,128.0
369,292,2380.0,256.0
370,647,8488.0,512.0
371,217,1980.0,128.0
372,274,2888.0,256.0
373,279,3184.0,256.0
374,294,2892.0,256.0
375,325,3152.0,256.0
376,267,2808.0,256.0
377,301,3144.0,256.0
378,241,2636.0,256.0
379,219,1480.0,128.0
380,528,6160.0,512.0
381,244,2972.0,256.0
382,368,3488.0,256.0
383,257,1392.0,128.0
384,338,4228.0,512.0
385,718,6412.0,512.0
386,247,3100.0,256.0
387,270,2392.0,256.0
388,255,2552.0,256.0
389,498,6524.0,512.0
390,573,6260.0,512.0
391,172,1068.0,128.0
392,312,3300.0,256.0
393,286,3444.0,256.0
394,269,3572.0,256.0
395,124,1004.0,128.0
396,256,2856.0,256.0
397,312,3200.0,256.0
398,319,3588.0,256.0
399,184,2252.0,256.0
400,251,2984.0,256.0
401,228,2952.0,256.0
402,174,1368.0,128.0
403,345,3188.0,256.0
404,380,3300.0,256.0
405,297,2876.0,256.0
406,326,3412.0,256.0
407,533,5344.0,512.0
408,228,2356.0,256.0
409,196,1356.0,128.0
410,324,3308.0,256.0
411,339,5100.0,512.0
412,235,2276.0,256.0
413,262,2800.0,256.0
414,344,2944.0,256.0
415,298,3036.0,256.0
416,148,1348.0,128.0
417,222,1540.0,128.0
418,394,4040.0,256.0
419,132,1352.0,128.0
420,637,4668.0,512.0
421,484,3112.0,256.0
422,543,6576.0,512.0
423,273,2880.0,256.0
424,277,2916.0,256.0
425,386,3676.0,256.0
426,638,6824.0,512.0
427,550,6892.0,512.0
428,400,4948.0,512.0
429,402,3368.0,256.0
430,293,3112.0,256.0
431,166,1380.0,128.0
432,309,3948.0,256.0
433,334,2900.0,256.0
434,734,7120.0,512.0
435,382,3244.0,256.0
436,138,1364.0,128.0
437,153,1312.0,128.0
438,324,2964.0,256.0
439,244,2452.0,256.0
440,269,3132.0,256.0
441,383,5284.0,512.0
442,579,8520.0,512.0
443,141,1168.0,128.0
444,303,3008.0,256.0
445,336,3244.0,256.0
446,620,5172.0,512.0
447,169,2112.0,256.0
448,572,6344.0,512.0
449,397,4648.0,512.0
450,423,5488.0,512.0
451,247,2348.0,256.0
452,318,3320.0,256.0
453,426,5988.0,512.0
454,267,2320.0,256.0
455,445,5304.0,512.0
456,215,2276.0,256.0
457,504,7040.0,512.0
458,408,5288.0,512.0
459,444,5324.0,512.0
460,493,6020.0,512.0
461,168,1316.0,128.0
462,263,2804.0,256.0
463,362,4012.0,256.0
464,294,3304.0,256.0
465,476,2988.0,256.0
466,293,3336.0,256.0
467,273,2600.0,256.0
468,434,6204.0,512.0
469,657,6044.0,512.0
470,301,3108.0,256.0
471,654,7432.0,512.0
472,288,2768.0,256.0
473,143,1088.0,128.0
474,341,3056.0,256.0
475,91,708.0,64.0
476,212,2068.0,256.0
477,201,2328.0,256.0
478,215,2312.0,256.0
479,222,2296.0,256.0
480,516,5544.0,512.0
481,223,2340.0,256.0
482,536,3104.0,256.0
483,284,2340.0,256.0
484,345,3040.0,256.0
485,496,6256.0,512.0
486,194,2328.0,256.0
487,214,1628.0,128.0
488,534,5972.0,512.0
489,411,3132.0,256.0
490,225,2224.0,256.0
491,385,4604.0,256.0
492,130,1336.0,128.0
493,487,4328.0,256.0
494,196,1428.0,128.0
495,383,5264.0,512.0
496,195,1244.0,128.0
497,212,2352.0,256.0
498,211,2752.0,256.0
499,262,3052.0,256.0
500,347,3044.0,256.0
501,659,6612.0,512.0
502,502,6676.0,512.0
503,232,2976.0,256.0
504,292,3356.0,256.0
505,116,1124.0,128.0
506,261,2308.0,256.0
507,230,1224.0,128.0
508,231,2028.0,256.0
509,329,4184.0,512.0
510,292,2980.0,256.0
511,160,1468.0,128.0
512,135,1380.0,128.0
513,86,728.0,64.0
514,225,2712.0,256.0
515,430,5232.0,512.0
516,330,3076.0,256.0
517,416,6016.0,512.0
518,190,1504.0,128.0
519,290,2400.0,256.0
520,442,5468.0,512.0
521,388,4628.0,512.0
522,331,3680.0,256.0
523,261,2992.0,256.0
524,636,5892.0,512.0
525,296,3284.0,256.0
526,495,6460.0,512.0
527,298,2752.0,256.0
528,380,5040.0,512.0
529,328,3588.0,256.0
530,534,5280.0,512.0
531,228,2556.0,256.0
532,334,2308.0,256.0
533,174,1356.0,128.0
534,440,5464.0,512.0
535,556,6656.0,512.0
536,398,5296.0,512.0
537,681,6872.0,512.0
538,376,4880.0,512.0
539,177,1536.0,128.0
540,379,4468.0,512.0
541,417,1668.0,128.0
542,133,1316.0,128.0
543,294,3088.0,256.0
544,344,4804.0,512.0
545,349,4916.0,512.0
546,387,2972.0,256.0
547,309,3104.0,256.0
548,246,2476.0,256.0
549,188,1540.0,128.0
550,679,6120.0,512.0
551,287,2928.0,256.0
552,302,3048.0,256.0
553,262,2208.0,256.0
554,280,2024.0,128.0
555,522,6216.0,512.0
556,212,1352.0,128.0
557,212,2252.0,256.0
558,380,5428.0,512.0
559,246,3160.0,256.0
560,207,1980.0,128.0
561,357,5248.0,512.0
562,647,6544.0,512.0
563,296,3580.0,256.0
564,368,2952.0,256.0
565,234,1916.0,128.0
566,154,1264.0,128.0
567,280,2452.0,256.0
568,384,1468.0,128.0
569,262,2964.0,256.0
570,280,3060.0,256.0
571,288,3064.0,256.0
572,782,12080.0,1024.0
573,104,548.0,64.0
574,316,2984.0,256.0
575,251,3156.0,256.0
576,574,4000.0,256.0
577,249,2896.0,256.0
578,353,2928.0,256.0
579,504,3856.0,256.0
580,452,3484.0,256.0
581,287,2944.0,256.0
582,543,4456.0,256.0
583,356,3980.0,256.0
584,172,1656.0,128.0
585,241,1344.0,128.0
586,510,5480.0,512.0
587,643,5320.0,512.0
588,693,9600.0,1024.0
589,325,2968.0,256.0
590,529,6884.0,512.0
591,571,6408.0,512.0
592,259,3000.0,256.0
593,344,4544.0,512.0
594,222,1692.0,128.0
595,282,3160.0,256.0
596,338,3616.0,256.0
597,312,1396.0,128.0
598,337,2952.0,256.0
599,284,2864.0,256.0
600,376,4864.0,512.0
601,178,2252.0,256.0
602,260,2736.0,256.0
603,458,4628.0,512.0
604,460,5536.0,512.0
605,284,2820.0,256.0
606,246,2856.0,256.0
607,208,2352.0,256.0
608,174,1892.0,128.0
609,429,6168.0,512.0
610,205,2312.0,256.0
611,280,2840.0,256.0
612,364,5428.0,512.0
613,758,7028.0,512.0
614,280,2380.0,256.0
615,558,6832.0,512.0
616,399,6020.0,512.0
617,356,2984.0,256.0
618,257,2524.0,256.0
619,543,6208.0,512.0
620,339,3124.0,256.0
621,891,13396.0,1024.0
622,650,6904.0,512.0
623,405,5320.0,512.0
624,388,3836.0,256.0
625,304,3096.0,256.0
626,304,2684.0,256.0
627,216,1644.0,128.0
628,316,4504.0,512.0
629,532,6192.0,512.0
630,317,3068.0,256.0
631,272,3052.0,256.0
632,250,3060.0,256.0
633,271,3268.0,256.0
634,577,6184.0,512.0
635,278,3032.0,256.0
636,451,5948.0,512.0
637,260,2972.0,256.0
638,306,3956.0,256.0
639,333,3000.0,256.0
640,273,3132.0,256.0
641,200,1360.0,128.0
642,282,2572.0,256.0
643,179,2036.0,256.0
644,279,3052.0,256.0
645,350,3000.0,256.0
646,432,6236.0,512.0
647,482,4904.0,512.0
648,348,3312.0,256.0
649,268,2896.0,256.0
650,281,3248.0,256.0
651,473,7312.0,512.0
652,124,1288.0,128.0
653,216,2336.0,256.0
654,465,5636.0,512.0
655,260,2992.0,256.0
656,298,2984.0,256.0
657,436,3484.0,256.0
658,327,2908.0,256.0
659,251,2864.0,256.0
660,217,2708.0,256.0
661,456,5240.0,512.0
662,378,3292.0,256.0
663,489,7284.0,512.0
664,262,2928.0,256.0
665,355,3312.0,256.0
666,464,6332.0,512.0
667,366,3368.0,256.0
668,177,1384.0,128.0
669,88,660.0,64.0
670,477,5308.0,512.0
671,202,1332.0,128.0
672,628,6184.0,512.0
673,613,3856.0,256.0
674,419,4856.0,512.0
675,357,3388.0,256.0
676,375,3296.0,256.0
677,194,1368.0,128.0
678,578,2316.0,256.0
679,875,6248.0,512.0
680,186,2132.0,256.0
681,408,5212.0,512.0
682,401,2992.0,256.0
683,622,5248.0,512.0
684,405,5028.0,512.0
685,529,6280.0,512.0
686,337,4352.0,512.0
687,390,3776.0,256.0
688,446,4548.0,512.0
689,177,1232.0,128.0
690,145,1408.0,128.0
691,269,3108.0,256.0
692,317,2948.0,256.0
693,375,3560.0,256.0
694,262,1668.0,128.0
695,299,3124.0,256.0
696,253,2356.0,256.0
697,516,6200.0,512.0
698,310,3260.0,256.0
699,292,2788.0,256.0
700,432,3032.0,256.0
701,326,3332.0,256.0
702,558,6864.0,512.0
703,711,10136.0,1024.0
704,267,2924.0,256.0
705,266,3028.0,256.0
706,355,2708.0,256.0
707,239,3028.0,256.0
708,541,5372.0,512.0
709,531,3048.0,256.0
710,294,2908.0,256.0
711,342,1536.0,128.0
712,161,1368.0,128.0
713,554,5460.0,512.0
714,836,10184.0,1024.0
715,288,3016.0,256.0
716,230,2172.0,256.0
717,312,2340.0,256.0
718,434,5408.0,512.0
719,426,3088.0,256.0
720,418,4396.0,256.0
721,409,4600.0,512.0
722,330,2976.0,256.0
723,147,1552.0,128.0
724,612,6520.0,512.0
725,301,3092.0,256.0
726,299,3072.0,256.0
727,692,6756.0,512.0
728,381,5028.0,512.0
729,822,6940.0,512.0
730,355,3576.0,256.0
731,425,3032.0,256.0
732,221,1556.0,128.0
733,262,3072.0,256.0
734,585,6892.0,512.0
735,674,6280.0,512.0
736,449,6468.0,512.0
737,326,3316.0,256.0
738,324,2964.0,256.0
739,494,2836.0,256.0
740,353,3348.0,256.0
741,424,3168.0,256.0
742,251,2236.0,128.0
743,139,1412.0,128.0
744,525,6376.0,512.0
745,328,3180.0,256.0
746,147,1356.0,128.0
747,420,3364.0,256.0
748,529,6220.0,512.0
749,268,2008.0,128.0
750,365,5364.0,512.0
751,185,1884.0,128.0
752,494,6248.0,512.0
753,453,3296.0,256.0
754,448,2900.0,256.0
755,626,6716.0,512.0
756,339,5172.0,512.0
757,352,2068.0,128.0
758,184,1436.0,128.0
759,416,3068.0,256.0
760,148,1240.0,128.0
761,314,3604.0,256.0
762,366,3104.0,256.0
763,425,3060.0,256.0
764,424,5188.0,512.0
765,275,3000.0,256.0
766,138,1276.0,128.0
767,368,3992.0,256.0
768,484,6364.0,512.0
769,204,1500.0,128.0
770,419,4480.0,512.0
771,609,5400.0,512.0
772,403,5164.0,512.0
773,145,1168.0,128.0
774,997,11988.0,1024.0
775,375,3008.0,256.0
776,276,2992.0,256.0
777,387,2652.0,256.0
778,155,1392.0,128.0
779,283,2828.0,256.0
780,303,2364.0,256.0
781,254,2520.0,256.0
782,568,6088.0,512.0
783,523,6832.0,512.0
784,459,3524.0,256.0
785,420,5484.0,512.0
786,453,1644.0,128.0
787,347,3460.0,256.0
788,475,6260.0,512.0
789,538,5236.0,512.0
790,498,5668.0,512.0
791,424,3236.0,256.0
792,608,6692.0,512.0
793,311,3128.0,256.0
794,312,2928.0,256.0
795,395,3020.0,256.0
796,385,3132.0,256.0
797,431,3264.0,256.0
798,468,2856.0,256.0
799,253,3040.0,256.0
800,616,7408.0,512.0
801,536,6196.0,512.0
802,159,1324.0,128.0
803,648,7252.0,512.0
804,434,5684.0,512.0
805,203,1916.0,128.0
806,531,5692.0,256.0
807,279,2916.0,256.0
808,481,5672.0,512.0
809,494,5252.0,512.0
810,488,5408.0,512.0
811,817,6900.0,512.0
812,535,6196.0,512.0
813,603,7096.0,512.0
814,451,6308.0,512.0
815,702,6888.0,512.0
816,283,3000.0,256.0
817,164,1524.0,128.0
818,651,3980.0,256.0
819,322,3628.0,256.0
820,432,3428.0,256.0
821,284,3004.0,256.0
822,388,2688.0,256.0
823,499,3124.0,256.0
824,259,2940.0,256.0
825,559,6948.0,512.0
826,568,6904.0,512.0
827,269,3136.0,256.0
828,283,3044.0,256.0
829,484,5932.0,512.0
830,291,1360.0,128.0
831,752,6948.0,512.0
832,222,2876.0,256.0
833,335,3900.0,256.0
834,280,3292.0,256.0
835,423,5384.0,512.0
836,746,10072.0,1024.0
837,265,3012.0,256.0
838,383,2976.0,256.0
839,253,2952.0,256.0
840,476,5368.0,512.0
841,494,5224.0,512.0
842,470,5944.0,512.0
843,438,5892.0,512.0
844,191,1436.0,128.0
845,463,6044.0,512.0
846,507,3776.0,256.0
847,267,2340.0,256.0
848,374,3108.0,256.0
849,320,3008.0,256.0
850,276,2424.0,256.0
851,365,5324.0,512.0
852,293,3044.0,256.0
853,514,6564.0,512.0
854,517,3328.0,256.0
855,453,5508.0,512.0
856,510,6220.0,512.0
857,506,4656.0,256.0
858,468,5500.0,512.0
859,752,7208.0,512.0
860,209,2244.0,256.0
861,333,3448.0,256.0
862,433,4460.0,512.0
863,353,3096.0,256.0
864,410,3056.0,256.0
865,351,4048.0,256.0
866,385,5180.0,512.0
867,395,4800.0,512.0
868,421,5132.0,512.0
869,391,5192.0,512.0
870,609,5912.0,512.0
871,278,3284.0,256.0
872,260,2960.0,256.0
873,258,2992.0,256.0
874,443,3772.0,256.0
875,610,6996.0,512.0
876,245,3032.0,256.0
877,345,4544.0,512.0
878,549,5704.0,512.0
879,289,2936.0,256.0
880,499,6264.0,512.0
881,529,5400.0,512.0
882,348,4888.0,512.0
883,259,2928.0,256.0
884,419,3756.0,256.0
885,382,3192.0,256.0
886,324,3244.0,256.0
887,693,6976.0,512.0
888,205,2168.0,256.0
889,297,3044.0,256.0
890,533,5384.0,512.0
891,311,3048.0,256.0
892,247,2988.0,256.0
893,490,5364.0,512.0
894,260,3020.0,256.0
895,285,3420.0,256.0
896,561,6984.0,512.0
897,248,2892.0,256.0
898,466,5284.0,512.0
